ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-08-24,"Sunrise Fire - MTBDF","Wildfire","Montana","174 Acres","4 hours 35 minutes ago","Sun, 08/24/2025 - 13:46","","Wildfire","Undetermined","Sun, 09/11/2022 - 02:00","","IC Kyle Errecart and IC (T) Stephen Whorley, Madison District, BDNF","45° 8' 1'', -111° 47' 6 ''","45° 8' 1''","-111° 47' 6 ''","40","100%"
2025-08-25,"Sunrise Fire - MTBDF","Wildfire","Montana","174 Acres","21 hours 37 minutes ago","Sun, 08/24/2025 - 13:46","","Wildfire","Undetermined","Sun, 09/11/2022 - 02:00","","IC Kyle Errecart and IC (T) Stephen Whorley, Madison District, BDNF","45° 8' 1'', -111° 47' 6 ''","45° 8' 1''","-111° 47' 6 ''","40","100%"
2025-08-26,"Sunrise Fire - MTBDF","Wildfire","Montana","174 Acres","1 day 21 hours ago","Sun, 08/24/2025 - 13:46","","Wildfire","Undetermined","Sun, 09/11/2022 - 02:00","","IC Kyle Errecart and IC (T) Stephen Whorley, Madison District, BDNF","45° 8' 1'', -111° 47' 6 ''","45° 8' 1''","-111° 47' 6 ''","40","100%"
2025-08-27,"Sunrise Fire - MTBDF","Wildfire","Montana","174 Acres","2 days 21 hours ago","Sun, 08/24/2025 - 13:46","","Wildfire","Undetermined","Sun, 09/11/2022 - 02:00","","IC Kyle Errecart and IC (T) Stephen Whorley, Madison District, BDNF","45° 8' 1'', -111° 47' 6 ''","45° 8' 1''","-111° 47' 6 ''","40","100%"
2025-08-28,"Sunrise Fire - MTBDF","Wildfire","Montana","174 Acres","3 days 21 hours ago","Sun, 08/24/2025 - 13:46","","Wildfire","Undetermined","Sun, 09/11/2022 - 02:00","","IC Kyle Errecart and IC (T) Stephen Whorley, Madison District, BDNF","45° 8' 1'', -111° 47' 6 ''","45° 8' 1''","-111° 47' 6 ''","40","100%"
2025-08-29,"Sunrise Fire - MTBDF","Wildfire","Montana","174 Acres","4 days 21 hours ago","Sun, 08/24/2025 - 13:46","","Wildfire","Undetermined","Sun, 09/11/2022 - 02:00","","IC Kyle Errecart and IC (T) Stephen Whorley, Madison District, BDNF","45° 8' 1'', -111° 47' 6 ''","45° 8' 1''","-111° 47' 6 ''","40","100%"
2025-08-30,"Sunrise Fire - MTBDF","Wildfire","Montana","174 Acres","5 days 21 hours ago","Sun, 08/24/2025 - 13:46","","Wildfire","Undetermined","Sun, 09/11/2022 - 02:00","","IC Kyle Errecart and IC (T) Stephen Whorley, Madison District, BDNF","45° 8' 1'', -111° 47' 6 ''","45° 8' 1''","-111° 47' 6 ''","40","100%"
2025-08-31,"Sunrise Fire - MTBDF","Wildfire","Montana","174 Acres","6 days 21 hours ago","Sun, 08/24/2025 - 13:46","","Wildfire","Undetermined","Sun, 09/11/2022 - 02:00","","IC Kyle Errecart and IC (T) Stephen Whorley, Madison District, BDNF","45° 8' 1'', -111° 47' 6 ''","45° 8' 1''","-111° 47' 6 ''","40","100%"
2025-09-01,"Sunrise Fire - MTBDF","Wildfire","Montana","174 Acres","1 week ago","Sun, 08/24/2025 - 13:46","","Wildfire","Undetermined","Sun, 09/11/2022 - 02:00","","IC Kyle Errecart and IC (T) Stephen Whorley, Madison District, BDNF","45° 8' 1'', -111° 47' 6 ''","45° 8' 1''","-111° 47' 6 ''","40","100%"
2025-09-02,"Sunrise Fire - MTBDF","Wildfire","Montana","174 Acres","1 week 1 day ago","Sun, 08/24/2025 - 13:46","","Wildfire","Undetermined","Sun, 09/11/2022 - 02:00","","IC Kyle Errecart and IC (T) Stephen Whorley, Madison District, BDNF","45° 8' 1'', -111° 47' 6 ''","45° 8' 1''","-111° 47' 6 ''","40","100%"
